,type,from,to,arcrole,order,weight
76,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_ForeignExchangeLossesNOE,http://www.xbrl.org/2003/arcrole/summation-item,4,1
77,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_CommissionFeeNOE,http://www.xbrl.org/2003/arcrole/summation-item,5,1
78,arc,jppfs_cor_NonOperatingExpenses,jppfs_cor_MiscellaneousLossNOE,http://www.xbrl.org/2003/arcrole/summation-item,6,1
79,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_MiscellaneousIncomeNOI,http://www.xbrl.org/2003/arcrole/summation-item,1,1
80,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_GainOnInvestmentsInPartnershipNOI,http://www.xbrl.org/2003/arcrole/summation-item,2,1
81,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_SubsidyIncomeNOI,http://www.xbrl.org/2003/arcrole/summation-item,3,1
82,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_EquityInEarningsOfAffiliatesNOI,http://www.xbrl.org/2003/arcrole/summation-item,4,1
83,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_InterestIncomeNOI,http://www.xbrl.org/2003/arcrole/summation-item,5,1
84,arc,jppfs_cor_NonOperatingIncome,jppfs_cor_DividendsIncomeNOI,http://www.xbrl.org/2003/arcrole/summation-item,6,1
85,arc,jppfs_cor_OrdinaryIncome,jppfs_cor_OperatingIncome,http://www.xbrl.org/2003/arcrole/summation-item,1,1
86,arc,jppfs_cor_OperatingIncome,jppfs_cor_GrossProfit,http://www.xbrl.org/2003/arcrole/summation-item,1,1
87,arc,jppfs_cor_OperatingIncome,jppfs_cor_SellingGeneralAndAdministrativeExpenses,http://www.xbrl.org/2003/arcrole/summation-item,2,-1
88,arc,jppfs_cor_OrdinaryIncome,jppfs_cor_NonOperatingIncome,http://www.xbrl.org/2003/arcrole/summation-item,2,1
89,arc,jppfs_cor_OtherComprehensiveIncome,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,http://www.xbrl.org/2003/arcrole/summation-item,1,1
90,arc,jppfs_cor_OtherComprehensiveIncome,jppfs_cor_ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,http://www.xbrl.org/2003/arcrole/summation-item,2,1
91,arc,jppfs_cor_ProfitLoss,jppfs_cor_IncomeBeforeIncomeTaxes,http://www.xbrl.org/2003/arcrole/summation-item,1,1
92,arc,jppfs_cor_ProfitLoss,jppfs_cor_IncomeTaxes,http://www.xbrl.org/2003/arcrole/summation-item,2,-1
93,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_RepaymentOfLongTermLoansPayableFinCF,http://www.xbrl.org/2003/arcrole/summation-item,1,1
94,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_ProceedsFromIssuanceOfCommonStockFinCF,http://www.xbrl.org/2003/arcrole/summation-item,2,1
95,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_PurchaseOfTreasuryStockFinCF,http://www.xbrl.org/2003/arcrole/summation-item,3,1
96,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_CashDividendsPaidFinCF,http://www.xbrl.org/2003/arcrole/summation-item,4,1
97,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_ProceedsFromChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInChangeInScopeOfConsolidationFinCF,http://www.xbrl.org/2003/arcrole/summation-item,5,1
98,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_RepaymentsOfLeaseObligationsFinCF,http://www.xbrl.org/2003/arcrole/summation-item,6,1
99,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_ProceedsFromShareIssuanceToNonControllingShareholdersFinCF,http://www.xbrl.org/2003/arcrole/summation-item,7,1
100,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,jppfs_cor_ProceedsFromDisposalOfTreasuryStockFinCF,http://www.xbrl.org/2003/arcrole/summation-item,8,1
101,arc,jppfs_cor_NetIncreaseDecreaseInCashAndCashEquivalents,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,http://www.xbrl.org/2003/arcrole/summation-item,2,1
102,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_PurchaseOfPropertyPlantAndEquipmentInvCF,http://www.xbrl.org/2003/arcrole/summation-item,1,1
103,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_ProceedsFromSalesOfInvestmentSecuritiesInvCF,http://www.xbrl.org/2003/arcrole/summation-item,2,1
104,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_PurchaseOfIntangibleAssetsInvCF,http://www.xbrl.org/2003/arcrole/summation-item,3,1
105,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_ProceedsFromWithdrawalOfTimeDepositsInvCF,http://www.xbrl.org/2003/arcrole/summation-item,4,1
106,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_CollectionOfLoansReceivableInvCF,http://www.xbrl.org/2003/arcrole/summation-item,5,1
107,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_PaymentsForGuaranteeDepositsInvCF,http://www.xbrl.org/2003/arcrole/summation-item,6,1
108,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_ProceedsFromCollectionOfGuaranteeDepositsInvCF,http://www.xbrl.org/2003/arcrole/summation-item,7,1
109,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,jppfs_cor_OtherNetInvCF,http://www.xbrl.org/2003/arcrole/summation-item,8,1
110,arc,jppfs_cor_NetIncreaseDecreaseInCashAndCashEquivalents,jppfs_cor_NetCashProvidedByUsedInOperatingActivities,http://www.xbrl.org/2003/arcrole/summation-item,1,1
111,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivities,jppfs_cor_SubtotalOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,1,1
112,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivities,jppfs_cor_InterestAndDividendsIncomeReceivedOpeCFInvCF,http://www.xbrl.org/2003/arcrole/summation-item,2,1
113,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivities,jppfs_cor_InterestExpensesPaidOpeCFFinCF,http://www.xbrl.org/2003/arcrole/summation-item,3,1
114,arc,jppfs_cor_NetCashProvidedByUsedInOperatingActivities,jppfs_cor_IncomeTaxesPaidOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,4,1
115,arc,jppfs_cor_NetIncreaseDecreaseInCashAndCashEquivalents,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,http://www.xbrl.org/2003/arcrole/summation-item,3,1
116,arc,jppfs_cor_NetIncreaseDecreaseInCashAndCashEquivalents,jppfs_cor_EffectOfExchangeRateChangeOnCashAndCashEquivalents,http://www.xbrl.org/2003/arcrole/summation-item,4,1
117,arc,jppfs_cor_SubtotalOpeCF,tse-qcedjpfr-47260_DecreaseIncreaseInNotesAndAccountsReceivableTradeAndContractAssetsOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,1,1
118,arc,jppfs_cor_SubtotalOpeCF,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,2,1
119,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncomeBeforeIncomeTaxes,http://www.xbrl.org/2003/arcrole/summation-item,3,1
120,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_DepreciationAndAmortizationOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,4,1
121,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_ImpairmentLossOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,5,1
122,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_AmortizationOfGoodwillOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,6,1
123,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_ShareBasedCompensationExpensesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,7,1
124,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInAllowanceForDoubtfulAccountsOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,8,1
125,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInProvisionForBonusesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,9,1
126,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInProvisionForDirectorsBonusesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,10,1
127,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInNetDefinedBenefitLiabilityOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,11,1
128,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInProvisionForLossOnOrderReceivedOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,12,1
129,arc,jppfs_cor_SubtotalOpeCF,tse-qcedjpfr-47260_IncreaseDecreaseInProvisionForDefectRepairOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,13,1
130,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_InterestAndDividendsIncomeOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,14,1
131,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_InterestExpensesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,15,1
132,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_CommissionFeeOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,16,1
133,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_EquityInEarningsLossesOfAffiliatesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,17,1
134,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_LossGainOnInvestmentsInPartnershipOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,18,1
135,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_LossGainOnSalesOfInvestmentSecuritiesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,19,1
136,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_DecreaseIncreaseInInventoriesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,20,1
137,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_DecreaseIncreaseInOperatingReceivablesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,21,1
138,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInNotesAndAccountsPayableTradeOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,22,1
139,arc,jppfs_cor_SubtotalOpeCF,tse-qcedjpfr-47260_IncreaseDecreaseInContractLiabilitiesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,23,1
140,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInAccruedConsumptionTaxesOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,24,1
141,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_IncreaseDecreaseInOperatingDebtOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,25,1
142,arc,jppfs_cor_SubtotalOpeCF,jppfs_cor_OtherNetOpeCF,http://www.xbrl.org/2003/arcrole/summation-item,26,1
