,type,from,to,arcrole,order
62,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_IntangibleAssetsAbstract,http://xbrl.org/int/dim/arcrole/domain-member,2
63,arc,jppfs_cor_NoncurrentAssetsAbstract,jppfs_cor_NoncurrentAssets,http://xbrl.org/int/dim/arcrole/domain-member,4
64,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LongTermLoansPayable,http://xbrl.org/int/dim/arcrole/domain-member,1
65,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_LeaseObligationsNCL,http://xbrl.org/int/dim/arcrole/domain-member,2
66,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_DeferredTaxLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,3
67,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,tse-qcedjpfr-47260_ContractLiabilitiesNCL,http://xbrl.org/int/dim/arcrole/domain-member,4
68,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NetDefinedBenefitLiability,http://xbrl.org/int/dim/arcrole/domain-member,5
69,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_AssetRetirementObligationsNCL,http://xbrl.org/int/dim/arcrole/domain-member,6
70,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_OtherNCL,http://xbrl.org/int/dim/arcrole/domain-member,7
71,arc,jppfs_cor_NoncurrentLiabilitiesAbstract,jppfs_cor_NoncurrentLiabilities,http://xbrl.org/int/dim/arcrole/domain-member,8
72,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_BuildingsNet,http://xbrl.org/int/dim/arcrole/domain-member,1
73,arc,jppfs_cor_PropertyPlantAndEquipmentAbstract,jppfs_cor_ToolsFurnitureAndFixturesNet,http://xbrl.org/int/dim/arcrole/domain-member,2
