,arc_role,loc_label,xlink_label
630,http://www.xbrl.org/2003/arcrole/concept-label,ForecastCorrectionOfQuarterlyNonConsolidatedFinancialResults9MonthsYTDAbstract,label_ForecastCorrectionOfQuarterlyNonConsolidatedFinancialResults9MonthsYTDAbstract_2
631,http://www.xbrl.org/2003/arcrole/concept-label,ForecastMember,label_ForecastMember
632,http://www.xbrl.org/2003/arcrole/concept-label,ForecastMember,label_ForecastMember_2
633,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsHeading,label_ForecastsHeading
634,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsHeading,label_ForecastsHeading_2
635,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsLineItems,label_ForecastsLineItems
636,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsLineItems,label_ForecastsLineItems_2
637,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsTable,label_ForecastsTable
638,http://www.xbrl.org/2003/arcrole/concept-label,ForecastsTable,label_ForecastsTable_2
639,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchange,label_FukuokaStockExchange
640,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchange,label_FukuokaStockExchange_2
641,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeEstablished,label_FukuokaStockExchangeEstablished
642,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeEstablished,label_FukuokaStockExchangeEstablished_2
643,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeOthers,label_FukuokaStockExchangeOthers
644,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeOthers,label_FukuokaStockExchangeOthers_2
645,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeQBoard,label_FukuokaStockExchangeQBoard
646,http://www.xbrl.org/2003/arcrole/concept-label,FukuokaStockExchangeQBoard,label_FukuokaStockExchangeQBoard_2
647,http://www.xbrl.org/2003/arcrole/concept-label,GeneralBusiness,label_GeneralBusiness
648,http://www.xbrl.org/2003/arcrole/concept-label,GeneralBusiness,label_GeneralBusiness_2
649,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenues,label_GrossOperatingRevenues
650,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenues,label_GrossOperatingRevenues_2
651,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesAbstract,label_GrossOperatingRevenuesAbstract
652,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesAbstract,label_GrossOperatingRevenuesAbstract_2
653,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesCorrectionAbstract,label_GrossOperatingRevenuesCorrectionAbstract
654,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesCorrectionAbstract,label_GrossOperatingRevenuesCorrectionAbstract_2
655,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesForecastAbstract,label_GrossOperatingRevenuesForecastAbstract
656,http://www.xbrl.org/2003/arcrole/concept-label,GrossOperatingRevenuesForecastAbstract,label_GrossOperatingRevenuesForecastAbstract_2
657,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesCorrectionUSAbstract,label_GrossRevenuesCorrectionUSAbstract
658,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesCorrectionUSAbstract,label_GrossRevenuesCorrectionUSAbstract_2
659,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesForecastUSAbstract,label_GrossRevenuesForecastUSAbstract
660,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesForecastUSAbstract,label_GrossRevenuesForecastUSAbstract_2
661,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesUS,label_GrossRevenuesUS
662,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesUS,label_GrossRevenuesUS_2
663,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesUSAbstract,label_GrossRevenuesUSAbstract
664,http://www.xbrl.org/2003/arcrole/concept-label,GrossRevenuesUSAbstract,label_GrossRevenuesUSAbstract_2
665,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract
666,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeBeforeIncomeTaxesCorrectionUSAbstract_2
